Stock,Date,Close,Daily%change
TSLA,8/12/2025 16:00:00,340.84,0.005338760582
TSLA,8/13/2025 16:00:00,339.38,-0.004283534796
TSLA,8/14/2025 16:00:00,335.58,-0.01119688844
TSLA,8/15/2025 16:00:00,330.56,-0.01495917516
TSLA,8/18/2025 16:00:00,335.16,0.01391577928
TSLA,8/19/2025 16:00:00,329.31,-0.01745435016
TSLA,8/20/2025 16:00:00,323.9,-0.01642828945
TSLA,8/21/2025 16:00:00,320.11,-0.01170114233
TSLA,8/22/2025 16:00:00,340.01,0.06216613039
TSLA,8/25/2025 16:00:00,346.6,0.01938178289
TSLA,8/26/2025 16:00:00,351.67,0.01462781304
TSLA,8/27/2025 16:00:00,349.6,-0.005886200131
TSLA,8/28/2025 16:00:00,345.98,-0.01035469108
TSLA,8/29/2025 16:00:00,333.87,-0.03500202324
TSLA,9/2/2025 16:00:00,329.36,-0.01350825171
TSLA,9/3/2025 16:00:00,334.09,0.01436118533
TSLA,9/4/2025 16:00:00,338.53,0.01328983208
TSLA,9/5/2025 16:00:00,350.84,0.03636309928
TSLA,9/8/2025 16:00:00,346.4,-0.01265534147
TSLA,9/9/2025 16:00:00,346.97,0.001645496536
TSLA,9/10/2025 16:00:00,347.79,0.002363316713
TSLA,9/11/2025 16:00:00,368.81,0.06043877052
TSLA,9/12/2025 16:00:00,395.94,0.07356091212
TSLA,9/15/2025 16:00:00,410.04,0.03561145628
TSLA,9/16/2025 16:00:00,421.62,0.02824114721
TSLA,9/17/2025 16:00:00,425.86,0.01005644894
TSLA,9/18/2025 16:00:00,416.85,-0.02115718781
TSLA,9/19/2025 16:00:00,426.07,0.02211826796
TSLA,9/22/2025 16:00:00,434.21,0.01910484193
TSLA,9/23/2025 16:00:00,425.85,-0.01925335667
TSLA,9/24/2025 16:00:00,442.79,0.039779265
TSLA,9/25/2025 16:00:00,423.39,-0.04381309424
TSLA,9/26/2025 16:00:00,440.4,0.04017572451
TSLA,9/29/2025 16:00:00,443.21,0.006380563124
TSLA,9/30/2025 16:00:00,444.72,0.003406962839
TSLA,10/1/2025 16:00:00,459.46,0.03314445044
TSLA,10/2/2025 16:00:00,436,-0.05105993993
TSLA,10/3/2025 16:00:00,429.83,-0.01415137615
TSLA,10/6/2025 16:00:00,453.25,0.05448665752
TSLA,10/7/2025 16:00:00,433.09,-0.04447876448
TSLA,10/8/2025 16:00:00,438.69,0.01293033781
TSLA,10/9/2025 16:00:00,435.54,-0.007180469124
TSLA,10/10/2025 16:00:00,413.49,-0.0506268081
TSLA,10/13/2025 16:00:00,435.9,0.05419719945
TSLA,10/14/2025 16:00:00,429.24,-0.01527873365
TSLA,10/15/2025 16:00:00,435.15,0.01376852111
TSLA,10/16/2025 16:00:00,428.75,-0.0147075721
TSLA,10/17/2025 16:00:00,439.31,0.02462973761
TSLA,10/20/2025 16:00:00,447.43,0.01848353099
TSLA,10/21/2025 16:00:00,442.6,-0.01079498469
TSLA,10/22/2025 16:00:00,438.97,-0.008201536376
TSLA,10/23/2025 16:00:00,448.98,0.02280338064
TSLA,10/24/2025 16:00:00,433.72,-0.03398815092
TSLA,10/27/2025 16:00:00,452.42,0.04311537397
TSLA,10/28/2025 16:00:00,460.55,0.01797002785
TSLA,10/29/2025 16:00:00,461.51,0.002084464228
TSLA,10/30/2025 16:00:00,440.1,-0.04639119412
TSLA,10/31/2025 16:00:00,456.56,0.03740059077
TSLA,11/3/2025 16:00:00,468.37,0.02586735588
TSLA,11/4/2025 16:00:00,444.26,-0.05147639687
TSLA,11/5/2025 16:00:00,462.07,0.04008913699
TSLA,11/6/2025 16:00:00,445.91,-0.03497305603
TSLA,11/7/2025 16:00:00,429.52,-0.03675629611
TSLA,11/10/2025 16:00:00,445.23,0.03657571242
TSLA,11/11/2025 16:00:00,439.62,-0.0126002291
TSLA,11/12/2025 16:00:00,430.6,-0.02051771985
TSLA,11/13/2025 16:00:00,401.99,-0.06644217371
TSLA,11/14/2025 16:00:00,404.35,0.005870792806
TSLA,11/17/2025 16:00:00,408.92,0.01130208977
TSLA,11/18/2025 16:00:00,401.25,-0.01875672503
TSLA,11/19/2025 16:00:00,403.99,0.006828660436
TSLA,11/20/2025 16:00:00,395.23,-0.02168370504
TSLA,11/21/2025 16:00:00,391.09,-0.01047491334
TSLA,11/24/2025 16:00:00,417.78,0.06824516096
TSLA,11/25/2025 16:00:00,419.4,0.003877638949
TSLA,11/26/2025 16:00:00,426.58,0.0171196948
TSLA,11/28/2025 13:05:00,430.17,0.008415771954
TSLA,12/1/2025 16:00:00,430.14,-0.00006973987028
TSLA,12/2/2025 16:00:00,429.24,-0.002092342028
TSLA,12/3/2025 16:00:00,446.74,0.04076973255
TSLA,12/4/2025 16:00:00,454.53,0.01743743564
TSLA,12/5/2025 16:00:00,455,0.001034035157
TSLA,12/8/2025 16:00:00,439.58,-0.03389010989
TSLA,12/9/2025 16:00:00,445.17,0.01271668411
TSLA,12/10/2025 16:00:00,451.45,0.01410697037
TSLA,12/11/2025 16:00:00,446.89,-0.01010078636
TSLA,12/12/2025 16:00:00,458.96,0.02700888362
TSLA,12/15/2025 16:00:00,475.31,0.03562401952
TSLA,12/16/2025 16:00:00,489.88,0.03065367865
TSLA,12/17/2025 16:00:00,467.26,-0.04617457336
TSLA,12/18/2025 16:00:00,483.37,0.03447759277
TSLA,12/19/2025 16:00:00,481.2,-0.004489314604
TSLA,12/22/2025 16:00:00,488.73,0.01564837905
TSLA,12/23/2025 16:00:00,485.56,-0.006486198924
TSLA,12/24/2025 13:05:00,485.4,-0.0003295164346
TSLA,12/26/2025 16:00:00,475.19,-0.0210341986
TSLA,12/29/2025 16:00:00,459.64,-0.0327237526
TSLA,12/30/2025 16:00:00,454.43,-0.01133495779
TSLA,12/31/2025 16:00:00,449.72,-0.01036463262
TSLA,1/2/2026 16:00:00,438.07,-0.02590500756
TSLA,1/5/2026 16:00:00,451.67,0.03104526674
TSLA,1/6/2026 16:00:00,432.96,-0.04142404853
TSLA,1/7/2026 16:00:00,431.41,-0.003580007391
TSLA,1/8/2026 16:00:00,435.8,0.01017593473
TSLA,1/9/2026 16:00:00,445.01,0.0211335475
TSLA,1/12/2026 16:00:00,448.96,0.008876205029
TSLA,1/13/2026 16:00:00,447.2,-0.003920171062
TSLA,1/14/2026 16:00:00,439.2,-0.01788908766
TSLA,1/15/2026 16:00:00,438.57,-0.00143442623
TSLA,1/16/2026 16:00:00,437.5,-0.002439747361
TSLA,1/20/2026 16:00:00,419.25,-0.04171428571
TSLA,1/21/2026 16:00:00,431.44,0.02907573047
TSLA,1/22/2026 16:00:00,449.36,0.04153532357
TSLA,1/23/2026 16:00:00,449.06,-0.0006676161652
TSLA,1/26/2026 16:00:00,435.2,-0.03086447245
TSLA,1/27/2026 16:00:00,430.9,-0.009880514706
TSLA,1/28/2026 16:00:00,431.46,0.001299605477
TSLA,1/29/2026 16:00:00,416.56,-0.03453390813
TSLA,1/30/2026 16:00:00,430.41,0.03324851162
TSLA,2/2/2026 16:00:00,421.81,-0.0199809484
TSLA,2/3/2026 16:00:00,421.96,0.0003556103459
TSLA,2/4/2026 16:00:00,406.01,-0.03779979145
TSLA,2/5/2026 16:00:00,397.21,-0.021674343
TSLA,2/6/2026 16:00:00,411.11,0.03499408373
TSLA,2/9/2026 16:00:00,417.32,0.01510544623
TSLA,2/10/2026 16:00:00,425.21,0.01890635484
TSLA,2/11/2026 16:00:00,428.27,0.00719644411
TSLA,2/12/2026 16:00:00,417.07,-0.02615172671
TSLA,2/13/2026 16:00:00,417.44,0.0008871412473
TSLA,2/17/2026 16:00:00,410.63,-0.01631372173
TSLA,2/18/2026 16:00:00,411.32,0.001680344836
TSLA,2/19/2026 16:00:00,411.71,0.0009481668774
TSLA,2/20/2026 16:00:00,411.82,0.0002671783537
TSLA,2/23/2026 16:00:00,399.83,-0.02911466175
TSLA,2/24/2026 16:00:00,409.38,0.02388515119
TSLA,2/25/2026 16:00:00,417.4,0.01959060042
TSLA,2/26/2026 16:00:00,408.58,-0.02113080977
TSLA,2/27/2026 16:00:00,402.51,-0.01485633169
TSLA,3/2/2026 16:00:00,403.32,0.002012372363
TSLA,3/3/2026 16:00:00,392.43,-0.02700089259
TSLA,3/4/2026 16:00:00,405.94,0.03442652193
TSLA,3/5/2026 16:00:00,405.55,-0.0009607331133
TSLA,3/6/2026 16:00:00,396.73,-0.02174824313
TSLA,3/9/2026 16:00:00,398.68,0.00491518161
TSLA,3/10/2026 16:00:00,399.24,0.001404635296
TSLA,3/11/2026 16:00:00,407.82,0.02149083258
TSLA,3/12/2026 16:00:00,395.01,-0.03141091658
TSLA,3/13/2026 16:00:00,391.2,-0.009645325435
TSLA,3/16/2026 16:00:00,395.56,0.01114519427
TSLA,3/17/2026 16:00:00,399.27,0.0093791081
TSLA,3/18/2026 16:00:00,392.78,-0.01625466476
TSLA,3/19/2026 16:00:00,380.3,-0.03177351189
TSLA,3/20/2026 16:00:00,367.96,-0.03244806732
TSLA,3/23/2026 16:00:00,380.85,0.03503098163
TSLA,3/24/2026 16:00:00,383.03,0.005724038335
TSLA,3/25/2026 16:00:00,385.95,0.007623423753
TSLA,3/26/2026 16:00:00,372.11,-0.0358595673
TSLA,3/27/2026 16:00:00,361.83,-0.02762623955
TSLA,3/30/2026 16:00:00,355.28,-0.01810242379
TSLA,3/31/2026 16:00:00,371.75,0.0463578023
TSLA,4/1/2026 16:00:00,381.26,0.02558170814
TSLA,4/2/2026 16:00:00,360.59,-0.05421497141
TSLA,4/6/2026 16:00:00,352.82,-0.02154801853
TSLA,4/7/2026 16:00:00,346.65,-0.01748767077
TSLA,4/8/2026 16:00:00,343.25,-0.009808163854
TSLA,4/9/2026 16:00:00,345.62,0.006904588492
TSLA,4/10/2026 16:00:00,348.95,0.009634859094
TSLA,4/13/2026 16:00:00,352.42,0.009944118068
TSLA,4/14/2026 16:00:00,364.2,0.03342602576
TSLA,4/15/2026 16:00:00,391.95,0.07619439868
TSLA,4/16/2026 16:00:00,388.9,-0.007781604797
TSLA,4/17/2026 16:00:00,400.62,0.03013628182
TSLA,4/20/2026 16:00:00,392.5,-0.0202685837
TSLA,4/21/2026 16:00:00,386.42,-0.01549044586
TSLA,4/22/2026 16:00:00,387.51,0.002820764971
TSLA,4/23/2026 16:00:00,373.72,-0.03558617842
TSLA,4/24/2026 16:00:00,376.3,0.006903564166
TSLA,4/27/2026 16:00:00,378.67,0.006298166357
TSLA,4/28/2026 16:00:00,376.02,-0.006998177833
TSLA,4/29/2026 16:00:00,372.8,-0.008563374289
TSLA,4/30/2026 16:00:00,381.63,0.02368562232
TSLA,5/1/2026 16:00:00,390.82,0.04833690987
Stock,Date,Close,
NVDA,5/2/2025 16:00:00,114.5,
NVDA,5/5/2025 16:00:00,113.82,-0.005938864629
NVDA,5/6/2025 16:00:00,113.54,-0.0024600246
NVDA,5/7/2025 16:00:00,117.06,0.03100228994
NVDA,5/8/2025 16:00:00,117.37,0.002648214591
NVDA,5/9/2025 16:00:00,116.65,-0.006134446622
NVDA,5/12/2025 16:00:00,123,0.05443634805
NVDA,5/13/2025 16:00:00,129.93,0.05634146341
NVDA,5/14/2025 16:00:00,135.34,0.04163780497
NVDA,5/15/2025 16:00:00,134.83,-0.003768287276
NVDA,5/16/2025 16:00:00,135.4,0.004227545798
NVDA,5/19/2025 16:00:00,135.57,0.001255539143
NVDA,5/20/2025 16:00:00,134.38,-0.00877775319
NVDA,5/21/2025 16:00:00,131.8,-0.01919928561
NVDA,5/22/2025 16:00:00,131.8,0
NVDA,5/23/2025 16:00:00,131.29,-0.003869499241
NVDA,5/27/2025 16:00:00,135.5,0.03206641785
NVDA,5/28/2025 16:00:00,134.81,-0.005092250923
NVDA,5/29/2025 16:00:00,139.19,0.03249017135
NVDA,5/30/2025 16:00:00,135.13,-0.02916876212
NVDA,6/2/2025 16:00:00,137.38,0.01665063272
NVDA,6/3/2025 16:00:00,141.22,0.02795166691
NVDA,6/4/2025 16:00:00,141.92,0.004956804985
NVDA,6/5/2025 16:00:00,139.99,-0.01359921082
NVDA,6/6/2025 16:00:00,141.72,0.01235802557
NVDA,6/9/2025 16:00:00,142.63,0.006421112052
NVDA,6/10/2025 16:00:00,143.96,0.009324826474
NVDA,6/11/2025 16:00:00,142.83,-0.007849402612
NVDA,6/12/2025 16:00:00,145,0.01519288665
NVDA,6/13/2025 16:00:00,141.97,-0.02089655172
NVDA,6/16/2025 16:00:00,144.69,0.01915897725
NVDA,6/17/2025 16:00:00,144.12,-0.00393945677
NVDA,6/18/2025 16:00:00,145.48,0.009436580627
NVDA,6/20/2025 16:00:00,143.85,-0.01120428925
NVDA,6/23/2025 16:00:00,144.17,0.002224539451
NVDA,6/24/2025 16:00:00,147.9,0.02587223417
NVDA,6/25/2025 16:00:00,154.31,0.04334009466
NVDA,6/26/2025 16:00:00,155.02,0.0046011276
NVDA,6/27/2025 16:00:00,157.75,0.01761063089
NVDA,6/30/2025 16:00:00,157.99,0.001521394612
NVDA,7/1/2025 16:00:00,153.3,-0.02968542313
NVDA,7/2/2025 16:00:00,157.25,0.02576647097
NVDA,7/3/2025 13:05:00,159.34,0.013290938
NVDA,7/7/2025 16:00:00,158.24,-0.006903476842
NVDA,7/8/2025 16:00:00,160,0.0111223458
NVDA,7/9/2025 16:00:00,162.88,0.018
NVDA,7/10/2025 16:00:00,164.1,0.007490176817
NVDA,7/11/2025 16:00:00,164.92,0.004996953077
NVDA,7/14/2025 16:00:00,164.07,-0.005154014067
